Name,L*,a*,b*,C*,h°,ΔE*ab,400 nm,410 nm,420 nm,430 nm,440 nm,450 nm,460 nm,470 nm,480 nm,490 nm,500 nm,510 nm,520 nm,530 nm,540 nm,550 nm,560 nm,570 nm,580 nm,590 nm,600 nm,610 nm,620 nm,630 nm,640 nm,650 nm,660 nm,670 nm,680 nm,690 nm,700 nm,Weight,Unnamed: 39,Unnamed: 40,Unnamed: 41,mixing weight
In-RO-021-T-SF-1#0427-A1-23T-1,36.29,14.32,0.68,14.34,2.73,5.04,23.63,19.73,14.61,9.83,8.58,8.2,7.54,7.25,7.19,7.12,7.07,7.23,7.42,7.57,7.81,8.1,8.46,8.89,9.32,10.1,10.99,12.38,14.14,16.27,18.35,20.41,22.01,23.25,24.1,24.57,24.95,90.1,,,,90.1
In-GC-021-T-SF-2#0527-A1-33T-1,53.77,-21.06,12.54,24.52,149.22,7.0,9.21,10.88,12.66,13.03,12.55,12.97,15.26,19.46,23.06,25.16,26.05,26.31,26.12,25.44,24.78,24.15,23.45,22.58,21.34,19.62,17.37,14.95,12.44,10.16,8.56,7.76,7.71,7.97,8.41,8.67,8.91,90.0,,,,90.0
In-GC-021-T-SF-2#0510-A1-30T-1,62.38,-21.79,27.62,35.18,128.28,17.91,10.17,9.65,10.86,14.09,15.05,13.7,12.26,15.56,22.29,28.39,32.38,34.58,35.86,36.36,36.37,36.07,35.3,34.08,32.55,30.45,27.73,24.38,20.6,16.61,12.83,9.99,8.46,8.3,8.94,9.94,10.68,89.6,,,,89.6
In-RO-021-T-SF-1#0428-A1-25T-1,36.99,16.64,2.32,16.8,7.93,3.82,26.47,21.68,15.51,9.79,8.28,7.89,7.23,6.8,6.74,6.81,6.91,7.02,7.29,7.53,7.79,8.33,8.82,9.39,10.06,10.88,11.93,13.54,15.59,18.11,20.54,22.98,24.91,26.28,27.23,27.43,27.86,88.8,,,,88.8
In-RO-021-T-SF-1#0520-A1-24T-1(重新洗粉),37.18,15.05,8.92,17.49,30.64,5.06,16.84,10.99,7.94,7.17,6.98,6.83,6.62,6.62,6.71,6.76,6.87,7.05,7.33,7.65,8.1,8.49,8.76,9.04,9.72,10.99,12.89,15.2,17.44,19.31,20.69,21.72,22.39,22.8,22.84,22.7,22.59,85.5,,,,85.5
In-GC-021-T-SF-2#0520-A1-31T-1,60.05,-20.54,23.24,31.02,131.47,13.94,10.14,9.6,10.89,13.63,14.79,14.3,13.75,16.45,21.72,26.75,29.86,31.7,32.69,33.02,33.0,32.65,31.95,30.93,29.38,27.51,24.95,22.03,18.64,15.22,12.21,9.82,8.4,8.12,8.35,8.97,9.64,85.1,,,,85.1
In-GC-021-T-SF-2#0524-A2-34T-1,59.15,-33.75,3.71,33.95,173.72,16.37,11.85,15.01,15.69,15.7,18.07,22.76,29.24,33.94,36.55,37.69,37.84,37.49,36.58,35.27,33.79,31.58,28.8,25.33,21.21,16.86,13.02,10.28,8.92,8.82,9.4,10.29,10.99,11.53,11.69,11.44,11.12,84.2,,,,84.2
In-RO-021-T-SF-1#0430-A1-23T8c-1,34.94,13.5,1.23,13.56,5.2,4.57,20.34,16.69,12.53,9.44,7.87,7.3,6.9,6.7,6.6,6.57,6.64,6.75,6.77,7.04,7.29,7.62,7.93,8.16,8.51,9.09,10.18,11.55,13.29,15.13,16.81,18.43,19.71,20.69,21.41,21.35,21.82,83.7,,,,83.7
In-GC-021-T-SF-2#0422-A1-32T-1,52.67,-9.81,22.77,24.8,113.31,18.38,9.0,8.75,8.13,8.9,10.61,11.49,11.04,10.5,11.39,14.13,17.71,20.65,22.57,23.44,23.92,23.86,23.52,23.01,22.4,21.81,21.0,19.98,18.57,16.89,14.94,12.8,10.69,9.03,7.68,7.16,7.09,83.6,,,,83.6
In-GC-021-T-SF-2#0526-A2-32T-1,55.67,-23.58,11.32,26.15,154.36,7.33,9.54,12.04,13.58,13.28,13.09,14.58,18.58,23.51,26.79,28.45,28.97,28.9,28.46,27.63,26.97,26.36,25.62,24.53,22.89,20.58,17.82,14.84,11.84,9.55,8.22,7.85,8.03,8.52,8.97,9.14,9.21,83.5,,,,83.5
